id,alert_id,session_ts,rule_id,rule_level,severity_tier,verdict,confidence,risk_score,is_malicious,net_ingest_lag_s,ti_processing_s,ai_pipeline_s,soar_internal_s,e2e_total_s,anomaly_flag,ai_provider,ai_model,tokens_used,cost_usd,response_ms,engines_total,engines_ok,engines_skipped,engines_error,ti_verdict,ti_score,ioc_count,is_first,attempt_count,suppressed,raw_payload_bytes,summary_bytes,compression_ratio
BM-1776485422108,crit-unknown-unknown-1776485410424,2026-04-18T04:10:22.108Z,unknown,,low,BENIGN,LOW,5,FALSE,9.16,6.355,3.779,11.684,21.684,NORMAL,Groq,llama-3.3-70b-versatile,3548,0.0021288,868,6,0,6,0,clean,0,0,TRUE,1,FALSE,12361,3702,3.34
BM-1776487513649,crit-86602-ubuntu-prod-server-1776487503505,2026-04-18T04:45:13.649Z,86602,12,critical,TRUE_POSITIVE,HIGH,70,TRUE,8.43,4.652,4.162,10.144,18.842,NORMAL,Groq,llama-3.3-70b-versatile,4105,0.002463,1382,6,2,4,0,clean,0,1,TRUE,1,FALSE,18146,5143,3.53
BM-1776488446215,crit-86603-ubuntu-prod-server-1776488435494,2026-04-18T05:00:46.215Z,86603,12,critical,TRUE_POSITIVE,HIGH,65,TRUE,17.954,4.525,4.826,10.721,28.675,NORMAL,Groq,llama-3.3-70b-versatile,4160,0.002496,1789,6,2,4,0,suspicious,15,1,TRUE,1,FALSE,18619,5258,3.54
BM-1776488846119,crit-86604-ubuntu-prod-server-1776488835836,2026-04-18T05:07:26.119Z,86604,13,critical,TRUE_POSITIVE,HIGH,65,TRUE,6.722,4.79,4.482,10.283,17.005,NORMAL,Groq,llama-3.3-70b-versatile,4191,0.0025146,1514,6,2,4,0,low_risk,8,1,TRUE,1,FALSE,18531,5219,3.55
BM-1776489159312,crit-86605-ubuntu-prod-server-1776489149317,2026-04-18T05:12:39.312Z,86605,14,critical,TRUE_POSITIVE,HIGH,70,TRUE,6.542,4.251,4.674,9.995,16.537,NORMAL,Groq,llama-3.3-70b-versatile,4255,0.002553,1802,6,2,4,0,suspicious,10,2,TRUE,1,FALSE,19429,5433,3.58
BM-1776489388967,crit-86606-ubuntu-prod-server-1776489374230,2026-04-18T05:16:28.967Z,86606,14,critical,TRUE_POSITIVE,HIGH,80,TRUE,5.789,8.821,4.823,14.737,20.526,NORMAL,Groq,llama-3.3-70b-versatile,4182,0.0025092,1492,6,2,4,0,suspicious,15,1,TRUE,1,FALSE,18581,5255,3.54
BM-1776490285468,crit-86607-ubuntu-prod-server-1776490272985,2026-04-18T05:31:25.468Z,86607,15,critical,TRUE_POSITIVE,HIGH,90,TRUE,5.325,6.882,4.462,12.483,17.808,NORMAL,Groq,llama-3.3-70b-versatile,4125,0.002475,1457,6,2,4,0,clean,0,1,TRUE,1,FALSE,18153,5096,3.56
BM-1776491077892,crit-86608-ubuntu-prod-server-1776491057340,2026-04-18T05:44:37.892Z,86608,15,critical,TRUE_POSITIVE,HIGH,95,TRUE,7.347,14.527,5.071,20.552,27.899,NORMAL,Groq,llama-3.3-70b-versatile,4220,0.002532,1743,6,2,4,0,clean,0,1,TRUE,1,FALSE,19280,5387,3.58
BM-1776491361826,crit-11401-ubuntu-prod-server-1776491350747,2026-04-18T05:49:21.826Z,11401,12,critical,TRUE_POSITIVE,HIGH,70,TRUE,6.523,4.983,4.8,11.079,17.602,NORMAL,Groq,llama-3.3-70b-versatile,3994,0.0023964,1897,6,0,6,0,clean,0,0,TRUE,1,FALSE,19080,5535,3.45
BM-1776492808781,crit-5764-ubuntu-prod-server-1776492795980,2026-04-18T06:13:28.781Z,5764,12,critical,TRUE_POSITIVE,HIGH,60,TRUE,6.98,5.392,6.079,12.801,19.781,NORMAL,Groq,llama-3.3-70b-versatile,4111,0.0024666,1746,6,2,4,0,clean,0,1,TRUE,1,FALSE,19242,5427,3.55
BM-1776493932510,crit-31151-ubuntu-prod-server-1776493921536,2026-04-18T06:32:12.510Z,31151,12,critical,TRUE_POSITIVE,MEDIUM,55,TRUE,6.536,4.577,5.212,10.974,17.51,NORMAL,Groq,llama-3.3-70b-versatile,4208,0.0025248,1843,6,2,3,1,clean,0,2,TRUE,1,FALSE,20493,5776,3.55
BM-1776494086037,crit-31103-ubuntu-prod-server-1776494076570,2026-04-18T06:34:46.037Z,31103,13,critical,TRUE_POSITIVE,HIGH,70,TRUE,5.57,3.874,4.419,9.467,15.037,NORMAL,Groq,llama-3.3-70b-versatile,4150,0.00249,1617,6,2,3,1,clean,0,2,TRUE,1,FALSE,19010,5420,3.51
BM-1776494416619,crit-31104-ubuntu-prod-server-1776494405657,2026-04-18T06:40:16.619Z,31104,13,critical,TRUE_POSITIVE,HIGH,70,TRUE,15.656,4.615,5.25,10.963,26.619,NORMAL,Groq,llama-3.3-70b-versatile,4145,0.002487,2128,6,2,3,1,clean,0,2,TRUE,1,FALSE,19386,5524,3.51
BM-1776494573329,crit-31200-ubuntu-prod-server-1776494564108,2026-04-18T06:42:53.329Z,31200,12,critical,TRUE_POSITIVE,MEDIUM,60,TRUE,10.108,3.813,4.595,9.221,19.329,NORMAL,Groq,llama-3.3-70b-versatile,4193,0.0025158,1702,6,2,2,1,suspicious,15,3,TRUE,1,FALSE,19772,5578,3.54
